_id,ts,value,topic_id
ObjectId(58fe4b3521be55df605626d8),2016-06-08T09:01:58.000Z,3,ObjectId(58f25becc56e525eb2234a55)
ObjectId(58fe4b3521be55df605626d7),2016-06-08T09:01:58.000Z,3,ObjectId(58f25becc56e525eb2234a53)
ObjectId(58fe4b3521be55df605626d6),2016-06-08T09:01:58.000Z,3,ObjectId(58f25becc56e525eb2234a51)
ObjectId(58fe4b3521be55df605626d5),2016-06-08T09:01:58.000Z,2016-06-08T02:01:58-07:00,ObjectId(58f25becc56e525eb2234a4f)
ObjectId(58fe4b3521be55df605626d4),2016-06-08T09:01:58.000Z,3,ObjectId(58f25becc56e525eb2234a4d)
ObjectId(58fe4b3521be55df605626d0),2016-06-08T09:01:58.000Z,3,ObjectId(58f25bebc56e525eb2234a4b)
ObjectId(57582da10f484a81e14a4767),2016-06-08T09:01:58.031Z,100,ObjectId(56ba9acec56e525431c990df)
ObjectId(57582da10f484a81e14a4766),2016-06-08T09:01:58.031Z,1,ObjectId(56ba9acec56e525431c990de)
ObjectId(57582da10f484a81e14a4764),2016-06-08T09:01:58.031Z,77,ObjectId(56ba9acec56e525431c990dc)
ObjectId(57582da10f484a81e14a4762),2016-06-08T09:01:58.031Z,0,ObjectId(56ba9acec56e525431c990da)
ObjectId(57582da10f484a81e14a4765),2016-06-08T09:01:58.031Z,80.18441772460938,ObjectId(56ba9acec56e525431c990dd)
ObjectId(57582da10f484a81e14a4763),2016-06-08T09:01:58.031Z,100,ObjectId(56ba9acec56e525431c990db)
ObjectId(57582da10f484a81e14a4768),2016-06-08T09:01:58.031Z,260,ObjectId(56ba9acec56e525431c990e0)
ObjectId(57582da10f484a81e14a4761),2016-06-08T09:01:58.031Z,0,ObjectId(56ba9acec56e525431c990d9)
ObjectId(57582da10f484a81e14a478d),2016-06-08T09:01:58.037Z,100,ObjectId(56ba9acec56e525431c990e7)
ObjectId(57582da10f484a81e14a478e),2016-06-08T09:01:58.037Z,400,ObjectId(56ba9acec56e525431c990e8)
ObjectId(57582da10f484a81e14a478c),2016-06-08T09:01:58.037Z,1,ObjectId(56ba9acec56e525431c990e6)
ObjectId(57582da10f484a81e14a478b),2016-06-08T09:01:58.037Z,80.13253784179688,ObjectId(56ba9acec56e525431c990e5)
ObjectId(57582da10f484a81e14a4787),2016-06-08T09:01:58.037Z,0,ObjectId(56ba9acec56e525431c990e1)
ObjectId(57582da10f484a81e14a4789),2016-06-08T09:01:58.037Z,100,ObjectId(56ba9acec56e525431c990e3)
ObjectId(57582da10f484a81e14a478a),2016-06-08T09:01:58.037Z,70,ObjectId(56ba9acec56e525431c990e4)
ObjectId(57582da10f484a81e14a4788),2016-06-08T09:01:58.037Z,0,ObjectId(56ba9acec56e525431c990e2)
ObjectId(5757e51d0f484a81e11486b5),2016-06-08T09:01:58.135Z,0,ObjectId(57461fc1c56e520b709463dc)
ObjectId(5757e51d0f484a81e11486b1),2016-06-08T09:01:58.135Z,72,ObjectId(5729407ec56e5232da3850fa)
ObjectId(5757e51d0f484a81e11486b3),2016-06-08T09:01:58.135Z,1,ObjectId(5729407ec56e5232da3850fe)
ObjectId(5757e51d0f484a81e11486b4),2016-06-08T09:01:58.135Z,0,ObjectId(5729407ec56e5232da3850fd)
ObjectId(5757e51d0f484a81e11486b2),2016-06-08T09:01:58.135Z,72.20000457763672,ObjectId(5729407ec56e5232da3850fb)
ObjectId(5757e51d0f484a81e11486b0),2016-06-08T09:01:58.135Z,86.10526275634766,ObjectId(5729407ec56e5232da3850f9)
ObjectId(5757e51d0f484a81e11486aa),2016-06-08T09:01:58.135Z,1,ObjectId(57461fc1c56e520b709463da)
ObjectId(5757e51d0f484a81e11486af),2016-06-08T09:01:58.135Z,73.20000457763672,ObjectId(5729407ec56e5232da3850f8)
ObjectId(5757e51d0f484a81e11486ae),2016-06-08T09:01:58.135Z,72,ObjectId(5729407ec56e5232da3850f7)
ObjectId(5757e51d0f484a81e11486ad),2016-06-08T09:01:58.135Z,1,ObjectId(5729407ec56e5232da3850f6)
ObjectId(5757e51d0f484a81e11486ab),2016-06-08T09:01:58.135Z,72,ObjectId(5729407ec56e5232da3850f4)
ObjectId(5757e51d0f484a81e11486ac),2016-06-08T09:01:58.135Z,55,ObjectId(5729407ec56e5232da3850f2)
ObjectId(5757e51d0f484a81e11486a9),2016-06-08T09:01:58.135Z,71,ObjectId(5729407ec56e5232da3850f3)
ObjectId(5757e51d0f484a81e11486a7),2016-06-08T09:01:58.135Z,1,ObjectId(5729407ec56e5232da3850f1)
ObjectId(5757e51d0f484a81e11486a8),2016-06-08T09:01:58.135Z,0,ObjectId(5729407ec56e5232da3850f5)
ObjectId(5757e51d0f484a81e11486a6),2016-06-08T09:01:58.135Z,34.98589324951172,ObjectId(56da6065c56e5232da8a04c6)
ObjectId(57582da20f484a81e14a47c0),2016-06-08T09:01:58.267Z,70,ObjectId(56c3d069c56e52543170f66a)
ObjectId(57582da20f484a81e14a47be),2016-06-08T09:01:58.267Z,67.5,ObjectId(57029e8ac56e5232dac9e9f0)
ObjectId(57582da20f484a81e14a47bf),2016-06-08T09:01:58.267Z,100,ObjectId(56c3d069c56e52543170f669)
ObjectId(57582da20f484a81e14a47ec),2016-06-08T09:01:58.518Z,55,ObjectId(56c3d069c56e52543170f672)
ObjectId(57582da20f484a81e14a47ea),2016-06-08T09:01:58.518Z,70,ObjectId(57029e8bc56e5232dac9e9f4)
ObjectId(57582da20f484a81e14a47eb),2016-06-08T09:01:58.518Z,73.0743408203125,ObjectId(56c3d069c56e52543170f671)
ObjectId(5757df070f484a81e1100432),2016-06-08T09:01:58.764Z,0.034019529819488525,ObjectId(569975b0c56e520238fce3e2)
ObjectId(5757df070f484a81e1100430),2016-06-08T09:01:58.764Z,0,ObjectId(569975b0c56e520238fce3e0)
